permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
82,Paper,Paper,2.0,USD,IDEALPRO,82.0,,,1.0,2.193,100.0,0.0,-1.75,BOT,5m_,USD,20170131 17:45:00 EST,,0.25,99847.65,1999988.35,99847.65,2.1955,100011.65,100011.65,-1.75
83,Paper,Paper,2.0,USD,IDEALPRO,83.0,,,1.0,2.1905,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 17:50:00 EST,,0.0,99845.65,1999769.3,99845.65,2.1905,100011.65,100011.65,-2.0
84,Paper,Paper,2.0,USD,IDEALPRO,84.0,,,1.0,2.1855,100.0,0.0,-1.5,BOT,5m_,USD,20170131 17:55:00 EST,,0.5,99844.15,1999987.85,99844.15,2.1905,100012.15,100012.15,-1.5
85,Paper,Paper,2.0,USD,IDEALPRO,85.0,,,1.0,2.193,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 18:00:00 EST,,0.0,99842.15,1999768.55,99842.15,2.193,100012.15,100012.15,-2.0
86,Paper,Paper,2.0,USD,IDEALPRO,86.0,,,1.0,2.1855,100.0,0.0,-1.25,BOT,5m_,USD,20170131 18:05:00 EST,,0.75,99840.9,1999987.1,99840.9,2.193,100012.9,100012.9,-1.25
87,Paper,Paper,2.0,USD,IDEALPRO,87.0,,,1.0,2.1895,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 18:10:00 EST,,0.0,99838.9,1999768.15,99838.9,2.1895,100012.9,100012.9,-2.0
88,Paper,Paper,2.0,USD,IDEALPRO,88.0,,,1.0,2.188,100.0,0.0,-1.85,BOT,5m_,USD,20170131 18:25:00 EST,,0.15,99837.05,1999986.95,99837.05,2.1895,100013.05,100013.05,-1.85
89,Paper,Paper,2.0,USD,IDEALPRO,89.0,,,1.0,2.2155,100.0,-100.0,-2.0,SLD,5m_,USD,20170201 10:00:00 EST,,0.0,99835.05,1999765.4,99835.05,2.2155,100013.05,100013.05,-2.0
90,Paper,Paper,2.0,USD,IDEALPRO,90.0,,,1.0,2.206,100.0,0.0,-1.05,BOT,5m_,USD,20170201 10:05:00 EST,,0.95,99834.0,1999986.0,99834.0,2.2155,100014.0,100014.0,-1.05
91,Paper,Paper,2.0,USD,IDEALPRO,91.0,,,1.0,2.208,100.0,-100.0,-2.0,SLD,5m_,USD,20170201 10:10:00 EST,,0.0,99832.0,1999765.2,99832.0,2.208,100014.0,100014.0,-2.0
